source,title,page,chunk_number,text
AHRQ,Re-Engineered Discharge (RED) Toolkit,1,1,"(https://www.ahrq.gov/) Re-Engineered Discharge (RED) Toolkit Next Page Table of Contents https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/index.html A variety of forces are pushing hospitals to improve their discharge processes to reduce readmissions. Researchers at the Boston University Medical Center (BUMC) developed and tested the Re-Engineered Discharge (RED). Research showed that the RED was effective at reducing readmissions and posthospital emergency department (ED) visits. The Agency for Healthcare Research and Quality contracted with BUMC to develop this toolkit to assist hospitals, particularly those that serve diverse populations, to replicate the RED. Select for the Taking Care of Myself: A Guide for When I Leave the Hospital (https://www.ahrq.gov/patients-con"
AHRQ,Re-Engineered Discharge (RED) Toolkit,1,2,"erse populations, to replicate the RED. Select for the Taking Care of Myself: A Guide for When I Leave the Hospital (https://www.ahrq.gov/patients-consumers/diagnosis- treatment/hospitals-clinics/goinghome/index.html) , a booklet for patients based on the RED Toolkit. Related Content Case Study: Pennsylvania Psychiatric Institute Slashes Readmission Rates with AHRQ-based Discharge Program (https://www.ahrq.gov/news/newsroom/case-studies/201706.html) Case Study: Penn Medicine Chester County Hospital Implements AHRQ Toolkit to Reduce Readmissions (https://www.ahrq.gov/news/newsroom/case-studies/201506.html) Case Study: AHRQ's RED Toolkit Helps Lower Readmissions in Dignity Health Hospitals (https://www.ahrq.gov/news/newsroom/case-studies/201522.html) Case Study: Memorial Hospital Uses AHRQ R"
AHRQ,Re-Engineered Discharge (RED) Toolkit,1,3,"Lower Readmissions in Dignity Health Hospitals (https://www.ahrq.gov/news/newsroom/case-studies/201522.html) Case Study: Memorial Hospital Uses AHRQ Resources to Cut Readmissions, Promote Patient Self-Management (https://www.ahrq.gov/news/newsroom/case-studies/201507.html) Case Study: AHRQ's RED Toolkit Inspires Improved Patient Discharge at Nacogdoches Memorial Hospital (https://www.ahrq.gov/news/newsroom/case-studies/201501.html) Case Study: AHRQ's RED Toolkit Leads to Lower Readmissions, Better Care Transitions in Two Texas Hospitals (https://www.ahrq.gov/news/newsroom/case-studies/201420.html) Read about lessons learned from implementing RED in ten hospitals across the country in, ""How Hospitals Reengineer Their Discharge Processes to Reduce Readmissions (http://www.ncbi.nlm.nih.gov/pu"
AHRQ,Re-Engineered Discharge (RED) Toolkit,1,4,"RED in ten hospitals across the country in, ""How Hospitals Reengineer Their Discharge Processes to Reduce Readmissions (http://www.ncbi.nlm.nih.gov/pubmed/26042743) "" J Healthcare Qual 2016 Mar- Apr;38(2):116-26. (Winner of the 2016 JHQ Impact Article of the Year) Learn how a hospital that participated in AHRQ’s RED Training Program (http://archive.ahrq.gov/professionals/systems/hospital/red/index.html) reduced readmissions by 32% in, “Implementation of the Re-Engineered Discharge (RED) toolkit to decrease all-cause readmission rates at a rural community hospital (http://www.ncbi.nlm.nih.gov/pubmed/24978166) .” Learn about how five California hospitals adapted and implemented RED and the subsequent impact on RED program sustainability in “Implementation and adaptation of the Re-Engineered"
AHRQ,Re-Engineered Discharge (RED) Toolkit,1,5,"hospitals adapted and implemented RED and the subsequent impact on RED program sustainability in “Implementation and adaptation of the Re-Engineered Discharge (RED) in five California hospitals: a qualitative research study (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5397802/) .” Prepared by: Boston University Brian Jack, MD Michael Paasche-Orlow, MD, M.P.H. Suzanne Mitchell, MD Shaula Forsythe, M.P.H. Jessica Martin, M.A., M.P.H. Agency for Healthcare Research and Quality Cindy Brach, M.P.P. Contract No. HHSA290200600012i"
AHRQ,Re-Engineered Discharge (RED) Toolkit,2,1,(https://www.ahrq.gov) Contents Acknowledgments (https://www.ahrq.gov#Acknowledgments) Tool 1: Overview (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool1.html) Purpose of the Toolkit (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool1.html#Purpose) Reasons To Re-Engineer Your Discharge Process (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool1.html#Reasons) Impact of RED (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool1.html#Impact) New and Improved RED Toolkit (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool1.html#New) References (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool1ref.html) Tool 2: How To Begin the Re-engineered Discharge I
AHRQ,Re-Engineered Discharge (RED) Toolkit,2,2,ew) References (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool1ref.html) Tool 2: How To Begin the Re-engineered Discharge Implementation at Your Hospital (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html) Purpose of This Tool (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool2.html#Purpose) Eleven Steps To Implement the Re-Engineered Discharge (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html#Steps) Step 1: Make a Clear and Decisive Statement (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html#Step1) Step 2: Identify Your Implementation Leadership (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html#Step2) Step 3: Anal
AHRQ,Re-Engineered Discharge (RED) Toolkit,2,3,Step 2: Identify Your Implementation Leadership (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html#Step2) Step 3: Analyze Your Readmission Rates and Determine Your Goal (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html#Step3) Step 4: Identify Which Patients Should Receive the RED (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html#Step4) Step 5: Create Your Process Map (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool2.html#Step5) Step 6: Revise Current Discharge Workflow To Eliminate Duplication (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html#Step6) Step 7: Assign Responsibility for RED Components (https://www.ahrq.gov/patient- safety/set
AHRQ,Re-Engineered Discharge (RED) Toolkit,2,4,- safety/settings/hospital/red/toolkit/redtool2.html#Step6) Step 7: Assign Responsibility for RED Components (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html#Step7) Step 8: Train Discharge Educators and Followup Telephone Callers (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html#Step8) Step 9: Decide How To Generate the After Hospital Care Plan (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html#Step9) Step 10: Provide the RED for Diverse Populations (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html#Step10) Step 11: Plan To Measure the Progress of RED Implementation (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html#Step11) References
AHRQ,Re-Engineered Discharge (RED) Toolkit,2,5,"lan To Measure the Progress of RED Implementation (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool2.html#Step11) References (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool2ref.html) Sample Training Agenda (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/sampleagenda.html) How CMS Measures the ""30-Day All Cause Rehospitalization Rate"" on the Hospital Compare Web Site (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool-30day.html) Tool 3: How To Deliver the Re-Engineered Discharge at Your Hospital (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3.html) Purpose of This Tool (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool3.html#Purpose) Role of t"
AHRQ,Re-Engineered Discharge (RED) Toolkit,2,6,al/red/toolkit/redtool3.html) Purpose of This Tool (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool3.html#Purpose) Role of the Discharge Educator (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool3.html#Role) The After Hospital Care Plan (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool3.html#After) What Are the Components of the After Hospital Care Plan? (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3.html#After1) What Is the Patient Information Workbook and the RED Workstation? (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3.html#After2) Steps To Deliver the In-Hospital RED Components (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redto
AHRQ,Re-Engineered Discharge (RED) Toolkit,2,7,"oolkit/redtool3.html#After2) Steps To Deliver the In-Hospital RED Components (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3.html#Steps) Obtain and Review Patient Information From Medical Records (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3.html#Step1) Confer With the In-Hospital Medical Team (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3.html#Step2) Arrange To Meet With Patient, Family, and Other Caregivers (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3.html#Step3) First Meeting With the Patient (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool3.html#First) Tool 3 Continued (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redto"
AHRQ,Re-Engineered Discharge (RED) Toolkit,2,8,nt-safety/settings/hospital/red/toolkit/redtool3.html#First) Tool 3 Continued (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool3a.html#Component1)
AHRQ,Re-Engineered Discharge (RED) Toolkit,3,1,Follow Up on Test or Lab Results That Are Pending at Discharge (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3a.html#Component2) Organize Postdischarge Medical Equipment and At-Home Services (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3a.html#Component3) Identify the Correct Medicines and a Plan for the Patient To Obtain Them (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3a.html#Component4) Reconcile the Discharge Plan With National Guidelines (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3a.html#Component5) Teach the Content of a Written Discharge Plan in a Way the Patient Can Understand (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3a.html#Com
AHRQ,Re-Engineered Discharge (RED) Toolkit,3,2,of a Written Discharge Plan in a Way the Patient Can Understand (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3a.html#Component6) Assess the Degree of Patient Understanding (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3a.html#Component7) Review What To Do if a Problem Arises (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3a.html#Component8) Postdischarge Components of the RED (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3a.html#Postdischarge) Transmit the Discharge Summary to the Postdischarge Clinician (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3a.html#Post1) Provide Telephone Reinforcement of the Discharge Plan (https://www.ahrq.gov/patient-
AHRQ,Re-Engineered Discharge (RED) Toolkit,3,3,tient- safety/settings/hospital/red/toolkit/redtool3a.html#Post1) Provide Telephone Reinforcement of the Discharge Plan (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3a.html#Post2) Staff a Discharge Educator Help Line (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool3a.html#Post3) Other Teaching Opportunities Included in the AHCP (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool3a.html#Other) Components of After Hospital Care Plan (AHCP) (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/ahcp- components.html) Example After Hospital Care Plan (AHCP) (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/ahcp-sample.html) AHCP Template for Manual Creation: English-Speaking Patients (h
AHRQ,Re-Engineered Discharge (RED) Toolkit,3,4,) (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/ahcp-sample.html) AHCP Template for Manual Creation: English-Speaking Patients (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/ahcp-template-eng.html) Template for Manual Creation of the AHCP: Spanish-Speaking Patients (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/ahcp-template-sp.html) RED Discharge Preparation Workbook (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/dischargeprep.html) Contact Sheet (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/contactsheet.html) Contact Sheet 2 (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/contactsheet2.html) Examples of Diagnosis Pages (https://www.ahrq.gov/patient-safety/settings/ho
AHRQ,Re-Engineered Discharge (RED) Toolkit,3,5,"ahrq.gov/patient-safety/settings/hospital/red/toolkit/contactsheet2.html) Examples of Diagnosis Pages (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/dxpages.html) Tool 4: How To Deliver the Re-Engineered Discharge to Diverse Populations (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html) Purpose of This Tool (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool4.html#Purpose) Role of Culture, Language, and Health Literacy in Readmissions (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Role) Culture and Its Relationship to Readmissions (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Culture) Language and Its Relationship to Readmissions and Patient Safe"
AHRQ,Re-Engineered Discharge (RED) Toolkit,3,6,"tps://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Culture) Language and Its Relationship to Readmissions and Patient Safety (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Language) Health Literacy and Its Relationship to Readmissions (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Literacy) Preparations for Providing the RED to Diverse Populations (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Preparations) Hiring Bilingual, Bicultural Discharge Educators (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Prep1) Providing Cultural and Linguistic Competence Training (https://www.ahrq.gov/patient- safety/settings/hospital/red/tool"
AHRQ,Re-Engineered Discharge (RED) Toolkit,3,7,ed/toolkit/redtool4.html#Prep1) Providing Cultural and Linguistic Competence Training (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Prep2) Ensuring Availability of Interpreter and Translation Services (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Prep3) Overview of Delivering the RED to Diverse Patient Populations (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Overview) Getting Started With the RED for Diverse Populations (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Start) Assessing Communication Needs (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool4.html#Start1) Using Nonverbal Communication Styles While Teaching the RED
AHRQ,Re-Engineered Discharge (RED) Toolkit,3,8,s (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool4.html#Start1) Using Nonverbal Communication Styles While Teaching the RED (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Start2)
AHRQ,Re-Engineered Discharge (RED) Toolkit,4,1,"Understanding Health Beliefs, Alternative Healers, and Attitudes About Medicines (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Start3) Understanding Patients and Communicating Across Differences (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Start4) Teaching the AHCP to Patients With Limited English Proficiency (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Teaching) Using Qualified Medical Interpreters To Create and Teach the AHCP (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Interpreters) Working With Qualified Medical Interpreters (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Interpreter1) Accessing Interpreters"
AHRQ,Re-Engineered Discharge (RED) Toolkit,4,2,Qualified Medical Interpreters (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Interpreter1) Accessing Interpreters by Phone and Video (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Interpreter2) Handling Patient Refusal of Language Assistance (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Interpreter3) Understanding the Role of Family and Community (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool4.html#Family) Additional Considerations (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool4.html#Additional) Dietary Patterns (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool4.html#Dietary) Religious Observances (http
AHRQ,Re-Engineered Discharge (RED) Toolkit,4,3,tml#Additional) Dietary Patterns (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool4.html#Dietary) Religious Observances (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool4.html#Religious) Mental Health (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool4.html#Mental) References (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool4ref.html) Tool 5: How To Conduct a Postdischarge Followup Phone Call (https://www.ahrq.gov/patient- safety/settings/hospital/red/toolkit/redtool5.html) Preparing for the Phone Call (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool5.html#Preparing) Ensure Continuity of Care (https://www.ahrq.gov/patient-safety/settings/hospital/red/toolkit/redtool5
